Route-name;Routenumber;node;Reference;name in text;millia passum;Leuga;Pleiades nr.;modern name;Lat;Long
;13;e;378.1;Bagacum;18;;108788;Bavai/Bavay;50.2977855;3.792415
;13;f;378.2;Vodgoriacum;12;;109441;Waudrez;50.413173;4.15025
;13;g;378.3;Geminicum;10;;109003;Liberchies;50.51379;4.432159
;13;h;378.4;Perniciacum;22;;109245;Braives;50.628114;5.144889
;13;i;378.5;Aduaga Tungrorum;14;;108765;Tongeren;50.780857;5.464831
;13;j;378.6;Coriovallum;16;;108908;Heerlen;50.883046;5.980935
;13;k;378.7;Iuliacum;18;;109068;Jülich;50.921007;6.361194
;13;l;378.8;Colonia;18;;108751;Köln;50.940662;6.9599065
Item a Tarvenna Turnacum;14;a;378.9;Tarvenna;49;;109366;Thérouanne;50.635487;2.256822
;14;b;378.10;Nemetacum;22;;109194;Arras;50.2927655;2.778586
;14;c;378.11;Turnacum;27;;109398;Tournai;50.605679;3.3882855
Item a Tarvenna Durocortoro;15;a;379.1;Tarvenna;103;;109366;Thérouanne;50.635487;2.256822
;15;b;379.2;Nemetacum;22;;109194;Arras;50.2927655;2.778586
;15;c;379.3;Camaracum;14;;108850;Cambrai;50.175165;3.234282
;15;d;379.4;Augusta Veromandorum;18;;108774;St-Quentin;49.847952;3.2891755
;15;e;379.5;Contra Aginum;13;;108905;Condren;49.628457;3.279702
;15;f;379.6;Augusta Suessonum;12;;108772;Soissons;49.380839;3.3258515
;15;g;379.7;Fines;13;;114780;?Marcheville or Mars-la-Tour?;?;?
;15;h;379.8;Durocortoro;12;;108945;Reims;49.2539525;4.0332025
Per conpendium a Nemetaco Samarabrivas;16;a;379.9-10;Nemetacum;16;;109194;Arras;50.2927655;2.778586
Per conpendium a Nemetaco Samarabrivas;16;b;379.9-10;Samarabrivas;16;;109321;Amiens;49.8936075;2.297948
A Samarobrivas Suessonas usque;17;a;380.1;Samarobrivas;89;;109321;Amiens;49.8936075;2.297948
;17;b;380.2;Curmiliaca;12;;108916;Cormeilles;49.63959;2.193381
;17;c;380.3;Caesaromago;13;;108844;Beauvais;49.4304035;2.081041
;17;d;380.4;Litanobriga;18;;109116;Thiverny/La Haute Pommeraie/St-Maximin;49.248168;2.430474
;17;e;380.5;Augustomago;4;;108776;Senlis;49.2051355;2.585975
;17;f;380.6;Suessonas;22;;109356;?;?;?
Item a Bagaco Nerviorum Durocortoro Remorum usque;18;a;380.7-8;Bagaco;53;;108788;Bavai/Bavay;50.2977855;3.792415
;18;b;381.1;Duronum;12;;108948;Etroeungt;50.058266;3.926293
;18;c;381.2;Verbino;10;;109416;Vervins;49.831065;3.905652
;18;d;381.3;Catusiacum;6;;108873;Chaourse/Vigneux-Hocquet;49.702803;3.997433
;18;e;381.4;Minatiacum;7;;109166;Nizy-le-Comte;49.566031;4.054387
;18;f;381.5;Muenna;8;;108780;Evergnicourt - as Axuenna;49.441308;4.039669
;18;g;381.6;Durocortoro;10;;108945;Reims;49.2539525;4.0332025
Item a Caracotino Augustobonam usque;19;a;381.7;Caracotino;153;;69484;Harfleur;49.507074;0.199338
;19;b;382.1;Iuliobona;10;;109069;Lillebonne;49.5196055;0.53567465
;19;c;382.2;Loium;6;;109120;Caudebec-en-Caux;49.52349;0.72376
;19;d;382.3;Ratomago;14;;109287;Rouen;49.440841;1.096451
;19;e;382.4;Ritumago;9;;114796;?road station in territory of Veliocasses;?;?
;19;f;382.5;Petromantalum;16;;114789;see comment Pleiades (Le Vaux de la Celle);49.120178;1.771454
;19;g;383.1;Luticiam;19;;109126;Paris;48.8544055;2.346168
;19;h;383.2;Metledo;18;;109162;Melun;48.541316;2.66025
